$k_{\rm{s}}$,$k_{\rm{c}}$
-1.993946e+00,-6.995266e-01
-7.675575e-01,-1.028477e+00
-2.278058e-01,-3.187721e-01
-1.001413e+00,-1.147475e+00
-1.380059e+00,-5.411709e-01
-3.565432e-01,-1.180970e+00
-6.461442e-01,-6.757936e-01
-1.622624e+00,-8.158410e-01
-1.649419e+00,-4.112969e-01
-6.105611e-01,-1.051035e+00
-3.843137e-01,-7.959500e-01
-1.345452e+00,-9.359361e-01
-1.224496e+00,-5.793549e-01
-1.351093e-02,-9.083667e-01
-9.896649e-01,-4.486309e-01
-1.778676e+00,-1.277395e+00
-1.867281e+00,-4.608540e-01
-8.908079e-01,-1.257331e+00
-1.021139e-01,-5.916084e-01
-1.125637e+00,-8.883331e-01
-1.254865e+00,-7.524464e-01
-4.812500e-01,-9.872197e-01
-5.199726e-01,-3.678239e-01
-1.746354e+00,-1.102349e+00
-1.524246e+00,-6.245710e-01
-7.352432e-01,-8.592835e-01
-2.581670e-01,-4.899179e-01
-1.469160e+00,-1.224382e+00
-1.097867e+00,-3.387752e-01
-1.367213e-01,-1.135313e+00
-8.640130e-01,-7.194991e-01
-1.902864e+00,-1.016285e+00
-1.932430e+00,-3.098239e-01
-8.310298e-01,-1.170086e+00
-1.662827e-01,-6.790999e-01
-1.064886e+00,-1.039114e+00
-1.443534e+00,-6.495778e-01
-2.950221e-01,-8.205656e-01
-7.096147e-01,-5.342310e-01
-1.561106e+00,-1.205467e+00
-1.712900e+00,-7.716413e-01
-5.490307e-01,-9.426904e-01
-4.477935e-01,-4.062640e-01
-1.283928e+00,-1.077561e+00
-1.162970e+00,-4.378062e-01
-7.698879e-02,-1.298007e+00
-9.281363e-01,-5.570517e-01
-1.842158e+00,-9.170048e-01
-1.807722e+00,-6.004947e-01
-9.562229e-01,-8.657817e-01
-4.255442e-02,-4.812185e-01
-1.191059e+00,-1.246754e+00
-1.320285e+00,-3.941015e-01
-4.216886e-01,-1.097565e+00
-5.853896e-01,-7.594484e-01
-1.686797e+00,-9.626634e-01
-1.589691e+00,-5.141663e-01
-6.756611e-01,-1.217690e+00
-3.236047e-01,-6.295439e-01
-1.409579e+00,-8.328196e-01
-1.038288e+00,-7.303840e-01
-2.021608e-01,-9.956102e-01
-8.044289e-01,-3.611385e-01
-1.968306e+00,-1.126613e+00
