$k_{\rm{s}}$,$k_{\rm{c}}$
3.026946e-03,6.015034e-01
6.162213e-01,2.725529e-01
8.860971e-01,9.822579e-01
4.992934e-01,1.535553e-01
3.099704e-01,7.598591e-01
8.217284e-01,1.200595e-01
6.769279e-01,6.252364e-01
1.886878e-01,4.851890e-01
1.752903e-01,8.897331e-01
6.947194e-01,2.499949e-01
8.078431e-01,5.050800e-01
3.272741e-01,3.650939e-01
3.877519e-01,7.216751e-01
9.932445e-01,3.926633e-01
5.051675e-01,8.523991e-01
1.106622e-01,2.363521e-02
6.635972e-02,8.401760e-01
5.545960e-01,4.369936e-02
9.489431e-01,7.094216e-01
4.371813e-01,4.126969e-01
3.725674e-01,5.485836e-01
7.593750e-01,3.138103e-01
7.400137e-01,9.332061e-01
1.268232e-01,1.986808e-01
2.378769e-01,6.764590e-01
6.323784e-01,4.417465e-01
8.709165e-01,8.111121e-01
2.654200e-01,7.664762e-02
4.510665e-01,9.622548e-01
9.316394e-01,1.657173e-01
5.679935e-01,5.815309e-01
4.856820e-02,2.847454e-01
3.378502e-02,9.912061e-01
5.844851e-01,1.309438e-01
9.168586e-01,6.219301e-01
4.675568e-01,2.619157e-01
2.782329e-01,6.514521e-01
8.524890e-01,4.804644e-01
6.451927e-01,7.667990e-01
2.194468e-01,9.556341e-02
1.435498e-01,5.293887e-01
7.254847e-01,3.583396e-01
7.761032e-01,8.947660e-01
3.580361e-01,2.234691e-01
4.185148e-01,8.632238e-01
9.615056e-01,3.022906e-03
5.359318e-01,7.439783e-01
7.892077e-02,3.840252e-01
9.613886e-02,7.005353e-01
5.218885e-01,4.352483e-01
9.787228e-01,8.198115e-01
4.044705e-01,5.427638e-02
3.398577e-01,9.069285e-01
7.891557e-01,2.034655e-01
7.073052e-01,5.415816e-01
1.566014e-01,3.383666e-01
2.051546e-01,7.868637e-01
6.621695e-01,8.333984e-02
8.381977e-01,6.714861e-01
2.952107e-01,4.682104e-01
4.808562e-01,5.706460e-01
8.989196e-01,3.054198e-01
5.977855e-01,9.398915e-01
1.584685e-02,1.744173e-01
