$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
-1.015990e+00,-5.302854e-01,-1.281489e+00,1.378586e+00,6.640433e-01,-2.336824e+01,-2.739941e+00,-3.358197e+00
-8.180887e-03,-8.786879e-01,-3.149538e-01,1.769598e+00,1.917189e+00,-2.366729e+01,-3.371293e+00,-3.890525e+00
-5.391724e-01,-7.944613e-01,-8.961565e-01,1.244031e+00,1.018929e+00,-2.382181e+01,-2.962162e+00,-4.214460e+00
-1.547012e+00,-1.140883e+00,-5.770387e-01,1.607764e+00,2.809273e-01,-2.315218e+01,-3.593513e+00,-3.744847e+00
-1.822316e+00,-6.306070e-01,-1.624151e-01,1.689306e+00,6.604213e-02,-2.349126e+01,-3.170032e+00,-4.074890e+00
-8.302707e-01,-1.289528e+00,-1.129078e+00,1.084362e+00,1.327552e+00,-2.353644e+01,-3.569938e+00,-3.669451e+00
-3.616262e-01,-3.664417e-01,-4.245002e-01,1.933171e+00,1.741426e+00,-2.394491e+01,-2.892484e+00,-3.431635e+00
-1.353947e+00,-1.027345e+00,-7.437463e-01,1.293136e+00,9.960370e-01,-2.302128e+01,-3.292390e+00,-4.024239e+00
-1.470564e+00,-7.319847e-01,-3.738346e-01,1.000099e+00,1.827474e+00,-2.322567e+01,-3.085517e+00,-4.161003e+00
-4.940364e-01,-1.078405e+00,-6.927937e-01,1.648074e+00,5.660248e-01,-2.380204e+01,-3.466868e+00,-3.568308e+00
-9.624975e-01,-4.678232e-01,-3.043040e-02,1.369456e+00,4.959014e-01,-2.371051e+01,-2.870497e+00,-3.532778e+00
-1.939117e+00,-8.162265e-01,-9.968063e-01,1.982332e+00,1.241229e+00,-2.325569e+01,-3.251848e+00,-3.938126e+00
-1.683142e+00,-3.039043e-01,-8.658000e-01,1.814852e+00,1.417050e+00,-2.310258e+01,-2.761930e+00,-3.381581e+00
-6.598750e-01,-9.648064e-01,-5.463946e-01,1.458812e+00,1.638430e-01,-2.393295e+01,-3.411836e+00,-3.851164e+00
-1.287006e-01,-5.680841e-01,-1.169812e+00,1.554812e+00,7.808529e-01,-2.358747e+01,-3.046683e+00,-4.253820e+00
-1.152302e+00,-1.227005e+00,-2.029906e-01,1.171486e+00,1.518916e+00,-2.338652e+01,-3.696589e+00,-3.721463e+00
-1.211666e+00,-6.000303e-01,-6.563083e-01,1.887953e+00,3.391574e-01,-2.388930e+01,-3.349979e+00,-4.294063e+00
-1.879950e-01,-1.198893e+00,-3.302712e-01,1.276341e+00,1.085469e+00,-2.309080e+01,-2.702033e+00,-3.701360e+00
-7.197175e-01,-3.339080e-01,-1.043468e+00,1.741255e+00,1.984210e+00,-2.343579e+01,-3.635327e+00,-3.399717e+00
-1.742930e+00,-9.308470e-01,-6.381775e-02,1.094429e+00,7.217923e-01,-2.360585e+01,-2.987382e+00,-3.805072e+00
-1.877854e+00,-4.353699e-01,-5.028406e-01,1.202338e+00,9.366088e-01,-2.375072e+01,-3.528103e+00,-3.514144e+00
-9.011962e-01,-8.448078e-01,-8.293051e-01,1.586469e+00,1.675656e+00,-2.320596e+01,-3.144807e+00,-3.983735e+00
-4.323099e-01,-7.015105e-01,-2.363871e-01,1.427220e+00,1.261286e+00,-2.329700e+01,-3.313709e+00,-4.121256e+00
-1.408753e+00,-1.112874e+00,-1.216465e+00,1.783949e+00,7.110400e-03,-2.372118e+01,-2.930412e+00,-3.588890e+00
-1.290263e+00,-3.963706e-01,-2.670216e-01,1.514596e+00,1.175673e+00,-2.351625e+01,-3.504163e+00,-3.475623e+00
-2.978744e-01,-9.933079e-01,-1.246831e+00,1.149692e+00,4.366872e-01,-2.344042e+01,-3.106218e+00,-4.007958e+00
-7.670656e-01,-6.625073e-01,-6.147947e-01,1.863993e+00,5.073070e-01,-2.303147e+01,-3.227240e+00,-4.097032e+00
-1.759058e+00,-1.261370e+00,-9.409903e-01,1.471680e+00,1.761422e+00,-2.398671e+01,-2.829295e+00,-3.627410e+00
-1.612702e+00,-7.640339e-01,-1.094411e+00,1.324708e+00,1.585670e+00,-2.365502e+01,-3.436454e+00,-4.191837e+00
-6.048244e-01,-1.175396e+00,-1.144924e-01,1.964091e+00,8.392967e-01,-2.332508e+01,-2.803156e+00,-3.786390e+00
-7.340731e-02,-4.979078e-01,-7.885710e-01,1.053501e+00,2.218057e-01,-2.317007e+01,-3.659269e+00,-3.314687e+00
