vertex_ind,xcoord,ycoord
"0",-198247.221261802624213,-2485342.616330294869840
"1",-198091.713517342461273,-2485274.385205962695181
"2",-197933.681518200784922,-2485217.218416497576982
"3",-197774.059757929295301,-2485171.552639901172370
"4",-197613.951595781109063,-2485137.615508783608675
"5",-197454.287444781570230,-2485115.432716923300177
"6",-197296.489738471485907,-2485105.064161336980760
"7",-197141.471905333950417,-2485106.222587397322059
"8",-196990.341704182908870,-2485118.552246273960918
"9",-196843.915811166982166,-2485141.473526153247803
"10",-196702.931118048378266,-2485174.296563009731472
"11",-196567.766589802282397,-2485216.085275767836720
"12",-196438.576582896639593,-2485265.711188507266343
"13",-196314.995858381211292,-2485321.588852095417678
"14",-196196.350268913491163,-2485381.822743099648505
"15",-196081.388679047086043,-2485443.725571778602898
"16",-195968.670764000358758,-2485504.237598211970180
"17",-195856.577777146419976,-2485559.992015285883099
"18",-195743.886407392506953,-2485608.254253589548171
"19",-195629.685798082646215,-2485646.825495455414057
"20",-195513.720638268132461,-2485674.493844232521951
"21",-195396.116435336589348,-2485690.574214352760464
"22",-195277.432623739994597,-2485694.971654199529439
"23",-195158.318190614198102,-2485687.701175490394235
"24",-195039.610482785268687,-2485669.001754678785801
"25",-194921.924290411203401,-2485639.204445596784353
"26",-194805.719980915659107,-2485598.887683094944805
"27",-194691.033918662462384,-2485548.902241408824921
"28",-194577.483132924971869,-2485490.615480211097747
"29",-194464.144991082925117,-2485425.725763755384833
"30",-194349.821587951504625,-2485356.195210422389209
"31",-194233.099728975386824,-2485284.025599190033972
"32",-194112.700754499004688,-2485211.027120042592287
"33",-193987.549593653006013,-2485138.752046444453299
"34",-193856.993335729348473,-2485068.226520758122206
"35",-193720.673523541074246,-2485000.164221900049597
"36",-193578.637424439744791,-2484934.917598711326718
"37",-193431.135574843530776,-2484872.522478947881609
"38",-193278.737238399684429,-2484812.687607375904918
"39",-193122.064228502102196,-2484754.968337014783174
"40",-192962.020465550740482,-2484698.657674401532859
"41",-192799.465513080882374,-2484642.862484879791737
"42",-192635.459045163413975,-2484586.574667461216450
"43",-192470.819440147286514,-2484528.662791525945067
"44",-192307.108898306789342,-2484468.121726730838418
"45",-192145.171284524898510,-2484403.929913375061005
"46",-191986.202084305055905,-2484335.200168914161623
