# RMSE,MAPE,Lower quantile,Upper quantile,Integrated confidence interval,Fraction covered
3.067937e-02,1.616070e-02,6.397747e-01,6.612750e-01,1.064683e-02,7.006124e-01
2.908417e-02,1.945219e-02,5.719201e-01,6.018059e-01,1.064683e-02,4.319012e-01
5.822312e-02,2.606553e-02,7.507299e-01,7.751218e-01,1.064683e-02,5.659793e-01
5.696983e-02,3.023538e-02,7.588610e-01,7.879988e-01,1.064683e-02,6.725512e-01
3.999497e-02,2.369396e-02,7.414112e-01,7.569706e-01,1.064683e-02,2.880763e-01
7.107691e-02,2.667319e-02,8.287017e-01,8.477969e-01,1.064683e-02,3.772899e-01
5.438427e-02,2.030461e-02,8.000573e-01,8.133149e-01,1.064683e-02,5.864193e-01
4.057230e-02,2.694729e-02,7.651090e-01,8.095007e-01,1.064683e-02,4.638142e-01
4.204532e-02,2.082930e-02,7.354301e-01,7.538788e-01,1.064683e-02,4.096198e-01
9.598531e-02,3.281089e-02,8.693972e-01,8.928897e-01,1.064683e-02,5.936963e-01
2.542111e-02,1.375853e-02,6.298098e-01,6.584411e-01,1.064683e-02,7.425377e-01
5.290804e-02,2.174376e-02,7.133150e-01,7.239662e-01,1.064683e-02,4.059609e-01
7.763009e-02,3.012128e-02,8.709208e-01,8.862639e-01,1.064683e-02,7.342362e-02
3.089727e-02,1.786662e-02,6.696191e-01,7.018548e-01,1.064683e-02,7.753595e-01
4.137130e-02,2.779675e-02,5.116084e-01,5.359574e-01,1.064683e-02,1.761622e-01
5.136885e-02,1.559507e-02,7.926396e-01,8.116792e-01,1.064683e-02,7.053448e-01
1.070842e-01,2.877342e-02,6.923795e-01,7.093715e-01,1.064683e-02,8.535215e-02
1.377073e-01,3.736644e-02,8.533740e-01,8.804708e-01,1.064683e-02,6.362270e-01
1.026421e-01,3.559535e-02,7.356703e-01,7.616754e-01,1.064683e-02,4.732485e-01
8.934315e-02,4.161907e-02,8.128058e-01,8.437742e-01,1.064683e-02,5.239212e-01
5.281438e-02,3.368525e-02,7.038239e-01,7.179583e-01,1.064683e-02,3.307049e-01
5.098105e-02,2.624898e-02,6.608557e-01,6.856218e-01,1.064683e-02,2.835398e-01
9.481177e-02,4.004786e-02,8.381106e-01,8.732268e-01,1.064683e-02,6.391693e-01
6.575028e-02,3.398646e-02,7.486953e-01,7.690520e-01,1.064683e-02,1.260192e-01
7.464813e-02,2.848478e-02,8.450325e-01,8.613457e-01,1.064683e-02,2.964980e-01
8.717562e-02,6.076366e-02,7.045165e-01,7.283362e-01,1.064683e-02,1.036318e-01
4.896620e-02,2.133803e-02,6.485628e-01,6.753557e-01,1.064683e-02,5.691152e-01
6.611760e-02,2.902475e-02,7.619968e-01,7.831397e-01,1.064683e-02,3.847101e-01
3.455475e-02,1.956869e-02,5.930264e-01,6.136816e-01,1.064683e-02,6.089284e-01
2.491309e-02,1.376802e-02,6.611326e-01,6.835394e-01,1.064683e-02,6.490183e-01
6.499885e-02,2.799598e-02,7.259654e-01,7.575876e-01,1.064683e-02,6.215765e-01
3.970963e-02,1.882372e-02,5.522921e-01,5.734740e-01,1.064683e-02,6.377894e-01
1.442867e-01,2.737116e-02,8.042961e-01,8.238241e-01,1.064683e-02,5.661826e-01
2.882125e-02,1.375646e-02,6.403491e-01,6.568946e-01,1.064683e-02,7.017230e-01
9.929976e-02,3.518736e-02,8.257763e-01,8.613347e-01,1.064683e-02,5.796958e-01
7.468524e-02,2.927627e-02,8.175601e-01,8.419624e-01,1.064683e-02,2.238882e-01
5.704103e-02,2.428022e-02,6.326044e-01,6.678201e-01,1.064683e-02,7.779984e-01
4.487206e-02,1.730345e-02,7.920114e-01,8.190861e-01,1.064683e-02,7.428137e-01
5.720639e-02,2.647103e-02,7.367548e-01,7.650662e-01,1.064683e-02,4.065900e-01
7.428468e-02,1.983235e-02,8.241156e-01,8.510658e-01,1.064683e-02,7.287345e-01
4.837564e-02,2.004469e-02,7.322446e-01,7.595181e-01,1.064683e-02,7.654185e-01
4.292944e-02,2.056591e-02,6.180071e-01,6.342580e-01,1.064683e-02,6.254439e-01
6.464697e-02,3.746024e-02,6.789373e-01,7.006910e-01,1.064683e-02,2.169747e-01
7.590254e-02,3.068505e-02,8.534222e-01,8.829305e-01,1.064683e-02,5.086343e-01
3.260591e-02,2.204954e-02,6.410524e-01,6.624800e-01,1.064683e-02,3.471870e-01
4.169501e-02,1.718481e-02,6.413116e-01,6.624575e-01,1.064683e-02,7.806498e-01
8.372194e-02,3.455903e-02,8.492413e-01,8.761360e-01,1.064683e-02,4.477742e-01
9.157229e-02,3.525488e-02,7.575417e-01,7.760624e-01,1.064683e-02,1.595251e-01
4.414124e-02,2.134930e-02,7.282508e-01,7.671534e-01,1.064683e-02,8.320777e-01
6.538108e-02,2.670732e-02,6.454568e-01,6.661524e-01,1.064683e-02,5.947216e-01
1.132594e-01,5.556724e-02,8.298266e-01,8.649050e-01,1.064683e-02,3.953322e-01
1.614175e-01,8.578178e-02,6.624315e-01,6.955362e-01,1.064683e-02,2.683359e-01
5.374456e-02,1.823340e-02,7.475836e-01,7.748279e-01,1.064683e-02,7.622299e-01
7.568465e-02,3.399330e-02,6.292134e-01,6.552047e-01,1.064683e-02,2.976464e-01
1.283363e-01,3.633375e-02,8.391144e-01,8.560197e-01,1.064683e-02,1.388580e-01
4.111275e-02,2.265909e-02,7.302635e-01,7.489888e-01,1.064683e-02,4.737931e-01
5.811381e-02,3.191852e-02,6.004748e-01,6.231229e-01,1.064683e-02,1.450816e-01
7.207105e-02,2.975547e-02,6.107587e-01,6.537074e-01,1.064683e-02,8.115991e-01
2.305343e-02,1.466060e-02,5.908545e-01,6.089851e-01,1.064683e-02,7.138726e-01
4.796182e-02,2.063048e-02,4.827841e-01,5.100166e-01,1.064683e-02,6.788363e-01
4.277575e-02,1.917575e-02,6.601837e-01,6.823776e-01,1.064683e-02,7.593166e-01
8.463301e-02,5.117755e-02,6.578955e-01,6.806968e-01,1.064683e-02,1.243649e-01
2.620512e-02,1.197206e-02,6.442298e-01,6.661580e-01,1.064683e-02,7.785881e-01
5.894082e-02,2.137137e-02,7.935198e-01,8.162785e-01,1.064683e-02,5.554603e-01
3.252464e-02,1.849029e-02,7.240220e-01,7.390077e-01,1.064683e-02,2.995271e-01
3.954523e-02,1.307425e-02,6.941956e-01,7.140033e-01,1.064683e-02,7.067291e-01
8.440915e-02,3.408931e-02,7.237574e-01,7.501680e-01,1.064683e-02,6.008524e-01
4.139802e-02,1.852295e-02,7.730748e-01,7.979600e-01,1.064683e-02,7.574931e-01
7.063074e-02,3.623819e-02,7.622998e-01,7.909618e-01,1.064683e-02,4.941240e-01
7.654332e-02,3.761923e-02,7.571918e-01,7.730221e-01,1.064683e-02,1.221133e-01
3.963498e-02,2.141419e-02,5.510346e-01,5.788423e-01,1.064683e-02,7.246861e-01
4.335845e-02,1.812541e-02,6.506384e-01,6.718341e-01,1.064683e-02,6.857045e-01
1.121061e-01,4.400699e-02,8.006436e-01,8.192849e-01,1.064683e-02,3.656299e-01
3.467839e-02,1.477333e-02,6.531119e-01,6.739329e-01,1.064683e-02,7.748729e-01
7.461477e-02,2.864212e-02,6.816437e-01,7.071546e-01,1.064683e-02,6.296763e-01
4.128408e-02,2.448883e-02,7.711957e-01,7.972664e-01,1.064683e-02,6.625960e-01
4.086081e-02,1.966638e-02,7.128152e-01,7.298268e-01,1.064683e-02,5.605088e-01
5.527811e-02,2.615528e-02,7.415498e-01,7.752573e-01,1.064683e-02,6.867090e-01
5.249578e-02,3.262889e-02,5.291542e-01,5.507993e-01,1.064683e-02,5.604843e-01
3.581386e-02,2.016557e-02,7.311553e-01,7.580127e-01,1.064683e-02,6.439766e-01
8.036540e-02,3.690863e-02,7.898208e-01,8.216439e-01,1.064683e-02,2.643980e-01
5.175186e-02,1.815254e-02,7.629967e-01,7.862378e-01,1.064683e-02,6.903635e-01
3.015523e-02,1.444248e-02,5.601865e-01,5.743819e-01,1.064683e-02,7.097181e-01
3.698388e-02,1.846754e-02,6.434218e-01,6.720401e-01,1.064683e-02,8.092986e-01
6.758317e-02,2.477220e-02,7.193709e-01,7.381909e-01,1.064683e-02,7.286670e-01
4.106741e-02,1.689759e-02,6.863160e-01,7.058259e-01,1.064683e-02,7.522251e-01
9.141405e-02,6.272807e-02,7.099792e-01,7.500797e-01,1.064683e-02,1.465186e-01
5.338886e-02,2.352569e-02,6.245342e-01,6.523365e-01,1.064683e-02,6.902299e-01
5.743899e-02,2.617626e-02,6.949490e-01,7.186049e-01,1.064683e-02,6.095501e-01
5.860723e-02,2.673455e-02,7.929181e-01,8.235431e-01,1.064683e-02,3.542593e-01
5.935192e-02,2.338461e-02,7.696554e-01,7.841998e-01,1.064683e-02,5.789420e-01
1.419230e-01,2.668042e-02,7.993711e-01,8.183171e-01,1.064683e-02,5.853221e-01
9.679683e-02,3.594412e-02,7.796541e-01,8.006696e-01,1.064683e-02,4.342714e-01
3.502294e-02,1.788210e-02,7.318215e-01,7.582120e-01,1.064683e-02,7.417543e-01
1.281940e-01,4.976093e-02,8.803667e-01,9.065127e-01,1.064683e-02,5.067351e-01
7.791299e-02,2.661362e-02,7.438192e-01,7.606249e-01,1.064683e-02,3.168245e-01
3.936012e-02,2.109309e-02,7.196874e-01,7.417314e-01,1.064683e-02,6.644336e-01
2.597547e-02,1.499702e-02,7.429234e-01,7.606755e-01,1.064683e-02,6.481103e-01
5.191707e-02,2.508466e-02,7.756122e-01,7.925997e-01,1.064683e-02,1.317383e-01
6.290974e-02,3.042244e-02,6.570335e-01,6.849754e-01,1.064683e-02,4.301459e-01
