# sims,PCs,PCA (seconds),MCMC (seconds)
512.000,1.000,30.288,163.576
512.000,2.000,31.153,341.090
512.000,3.000,30.986,510.634
512.000,4.000,30.995,686.154
512.000,5.000,31.479,858.144
512.000,6.000,31.729,1269.288
512.000,7.000,31.980,1505.207
512.000,8.000,31.673,1405.595
512.000,9.000,31.971,1583.039
512.000,10.000,32.077,1803.242
512.000,11.000,32.534,1925.780
256.000,1.000,17.977,42.926
256.000,2.000,18.010,86.524
256.000,3.000,18.131,134.899
256.000,4.000,18.174,180.263
256.000,5.000,18.317,230.328
256.000,6.000,18.457,277.058
256.000,7.000,18.524,329.324
256.000,8.000,18.663,376.347
256.000,9.000,18.872,427.695
256.000,10.000,18.970,471.498
256.000,11.000,19.346,520.831
