$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
9.638517e-02,2.949271e-01,5.230118e-02,2.391034e+01,4.613636e+00,4.283159e-24,1.819948e-03,4.383321e-04
9.813391e-01,1.322245e-01,4.842239e-01,5.882984e+01,8.263982e+01,2.151328e-24,4.253116e-04,1.286694e-04
2.889533e-01,1.605235e-01,1.270116e-01,1.754005e+01,1.044551e+01,1.507273e-24,1.091034e-03,6.102949e-05
2.837839e-02,7.229643e-02,2.648264e-01,4.052882e+01,1.909534e+00,7.044067e-24,2.549686e-04,1.799507e-04
1.505510e-02,2.340955e-01,6.879944e-01,4.889972e+01,1.164239e+00,3.226572e-24,6.760329e-04,8.416080e-05
1.478187e-01,5.134190e-02,7.428850e-02,1.214402e+01,2.125946e+01,2.907767e-24,2.691918e-04,2.140666e-04
4.348844e-01,4.300890e-01,3.762702e-01,8.573759e+01,5.513478e+01,1.135248e-24,1.280903e-03,3.701389e-04
4.426424e-02,9.389761e-02,1.804071e-01,1.963975e+01,9.909163e+00,9.521823e-24,5.100473e-04,9.457161e-05
3.384042e-02,1.853597e-01,4.228296e-01,1.000228e+01,6.721620e+01,5.947466e-24,8.212648e-04,6.902351e-05
3.206001e-01,8.348235e-02,2.028646e-01,4.447066e+01,3.681500e+00,1.577471e-24,3.412966e-04,2.702041e-04
1.090191e-01,3.405468e-01,9.323299e-01,2.341297e+01,3.132574e+00,1.947568e-24,1.347421e-03,2.932390e-04
1.150492e-02,1.526769e-01,1.007381e-01,9.601334e+01,1.742726e+01,5.550227e-24,5.599538e-04,1.153118e-04
2.074237e-02,4.967018e-01,1.362072e-01,6.529074e+01,2.612462e+01,7.896161e-24,1.730095e-03,4.153549e-04
2.188391e-01,1.084410e-01,2.841878e-01,2.876156e+01,1.458287e+00,1.166937e-24,3.874035e-04,1.408755e-04
7.435315e-01,2.703435e-01,6.763751e-02,3.587669e+01,6.037440e+00,2.585429e-24,8.980844e-04,5.574162e-05
7.042025e-02,5.929179e-02,6.266274e-01,1.484180e+01,3.303056e+01,4.106532e-24,2.010994e-04,1.899055e-04
6.142344e-02,2.511711e-01,2.206438e-01,7.725976e+01,2.183521e+00,1.290314e-24,4.467050e-04,5.080854e-05
6.486420e-01,6.325679e-02,4.674432e-01,1.889476e+01,1.217501e+01,8.113411e-24,1.985942e-03,1.989023e-04
1.906701e-01,4.635451e-01,9.047577e-02,5.511306e+01,9.642958e+01,3.666167e-24,2.315649e-04,3.983671e-04
1.807465e-02,1.172608e-01,8.633408e-01,1.242879e+01,5.269778e+00,2.478298e-24,1.029481e-03,1.566492e-04
1.324787e-02,3.669696e-01,3.141661e-01,1.593450e+01,8.641892e+00,1.775351e-24,2.964126e-04,3.060947e-04
1.255463e-01,1.429527e-01,1.481477e-01,3.858947e+01,4.738667e+01,6.223556e-24,7.164624e-04,1.038161e-04
3.695643e-01,1.988335e-01,5.802470e-01,2.674359e+01,1.825099e+01,5.046584e-24,4.856138e-04,7.563878e-05
3.901634e-02,7.711276e-02,6.074847e-02,6.080635e+01,1.016507e+00,1.900286e-24,1.173783e-03,2.576977e-04
5.125504e-02,4.014481e-01,5.407274e-01,3.270366e+01,1.498557e+01,3.046172e-24,3.132108e-04,3.344851e-04
5.036462e-01,1.015528e-01,5.664600e-02,1.411535e+01,2.733299e+00,3.627236e-24,7.830362e-04,9.818421e-05
1.709757e-01,2.175167e-01,2.427757e-01,7.311272e+01,3.215933e+00,9.301109e-24,5.925976e-04,7.997748e-05
1.741573e-02,5.478099e-02,1.145538e-01,2.962647e+01,5.773269e+01,1.031073e-24,1.481512e-03,2.358249e-04
2.439484e-02,1.721734e-01,8.046161e-02,2.112067e+01,3.851853e+01,2.213006e-24,3.660550e-04,6.429291e-05
2.484137e-01,6.677348e-02,7.682589e-01,9.206428e+01,6.907116e+00,4.730683e-24,1.573416e-03,1.635348e-04
8.444865e-01,3.177549e-01,1.627155e-01,1.131099e+01,1.666502e+00,6.759782e-24,2.191447e-04,4.845215e-04
8.295971e-02,1.237809e-01,3.449329e-01,4.546355e+01,3.049895e+01,1.344128e-24,9.419506e-04,1.237946e-04
7.854793e-02,1.640947e-01,9.952015e-01,6.331655e+01,8.801161e+00,1.052527e-24,2.457181e-04,1.017202e-04
7.714947e-01,7.524634e-02,1.036393e-01,2.568306e+01,5.002697e+01,8.749592e-24,9.784345e-04,3.450005e-04
2.623090e-01,2.830863e-01,4.104113e-01,3.773041e+01,2.306574e+01,3.447229e-24,4.742571e-04,2.296676e-04
2.670822e-02,1.292198e-01,1.903356e-01,1.629698e+01,1.331706e+00,3.078163e-24,1.888463e-03,7.824587e-05
1.592038e-02,4.132425e-01,6.960290e-02,1.305916e+01,1.925765e+00,1.410164e-24,4.918216e-04,1.673302e-04
1.621492e-01,9.185746e-02,6.686551e-01,5.245145e+01,1.113097e+01,6.649327e-24,1.149358e-03,6.550364e-05
5.505320e-01,2.395303e-01,1.278272e-01,1.830938e+01,7.914184e+01,4.616469e-24,3.000011e-04,1.198782e-04
5.408730e-02,5.348752e-02,2.757467e-01,7.972867e+01,4.483385e+00,2.340190e-24,7.010851e-04,4.714068e-04
3.969467e-02,3.269322e-01,1.192095e-01,4.776857e+01,3.519566e+01,2.418559e-24,6.235154e-04,2.042061e-04
4.189984e-01,1.492336e-01,2.569517e-01,1.076531e+01,6.088331e+00,3.877020e-24,1.396176e-03,5.194023e-05
1.233563e-01,1.895034e-01,5.382772e-02,8.921044e+01,1.417017e+00,8.511975e-24,3.293784e-04,1.511825e-04
1.168889e-02,8.689776e-02,5.166944e-01,2.179675e+01,2.501706e+01,1.269224e-24,7.375446e-04,3.862793e-04
2.050225e-02,2.765912e-01,3.652237e-01,3.085113e+01,1.581164e+01,1.805942e-24,2.238015e-04,1.071928e-04
1.943314e-01,6.176307e-02,1.692437e-01,7.021214e+01,2.782108e+00,5.099470e-24,9.300627e-04,3.146545e-04
5.713207e-01,4.771629e-01,7.344141e-01,1.380185e+01,4.210762e+00,6.353417e-24,3.740834e-04,2.518173e-04
6.032184e-02,1.060660e-01,7.642013e-02,3.344702e+01,7.292200e+01,1.670175e-24,1.554596e-03,7.425113e-05
6.923563e-02,4.412683e-01,2.304420e-01,2.026729e+01,1.143192e+00,5.250094e-24,1.067657e-03,2.770975e-04
6.556191e-01,1.136520e-01,1.099059e-01,8.308125e+01,2.013706e+01,1.995195e-24,2.580643e-04,7.048163e-05
2.227847e-01,2.592561e-01,5.627964e-01,1.155760e+01,4.362673e+01,1.603220e-24,1.782015e-03,1.114129e-04
2.350207e-02,6.647825e-02,5.976795e-02,5.138026e+01,7.563640e+00,5.670514e-24,4.307324e-04,2.846610e-04
1.013989e-02,2.051546e-01,1.560315e-01,4.145091e+01,5.231239e+00,4.062703e-24,1.217988e-03,1.456212e-04
1.069962e-01,8.100852e-02,3.275514e-01,1.714960e+01,9.038959e+01,2.721181e-24,5.414882e-04,4.274504e-04
3.638898e-01,3.491745e-01,8.485149e-02,5.649657e+01,1.272743e+01,1.240850e-24,6.425331e-04,1.853635e-04
3.446844e-02,1.384897e-01,7.999618e-01,2.489722e+01,2.244432e+00,7.733050e-24,2.856549e-04,5.465751e-05
4.676320e-02,2.244951e-01,9.542830e-02,1.517920e+01,2.859061e+01,7.489740e-24,1.331257e-03,1.331535e-04
4.758906e-01,5.756465e-02,8.989164e-01,3.507991e+01,1.654431e+00,1.476040e-24,5.722153e-04,4.516041e-04
1.400266e-01,3.820889e-01,2.116116e-01,2.762036e+01,7.100294e+00,2.128433e-24,8.109279e-04,1.754494e-04
1.374708e-02,9.840991e-02,4.438525e-01,6.798914e+01,4.026907e+01,4.508193e-24,3.485619e-04,5.977530e-05
3.103547e-02,3.023997e-01,6.039776e-01,9.908642e+01,6.370335e+01,9.677378e-24,8.459394e-04,2.192811e-04
3.047703e-01,1.199375e-01,6.408697e-02,2.268718e+01,3.616981e+00,1.082398e-24,2.114871e-04,8.584213e-05
8.975204e-01,1.776658e-01,2.982224e-01,4.232547e+01,2.392432e+00,2.750394e-24,1.630386e-03,9.147676e-05
9.136439e-02,7.015424e-02,1.421124e-01,1.050949e+01,1.379750e+01,3.305317e-24,4.076010e-04,3.597156e-04
8.815284e-02,2.381847e-01,2.918868e-01,3.401418e+01,5.090143e+01,7.991039e-24,4.753307e-04,2.914626e-04
9.302061e-01,5.223501e-02,1.385636e-01,1.511860e+01,9.294637e+00,1.191966e-24,1.191016e-03,1.140750e-04
3.160040e-01,4.081110e-01,6.464363e-01,6.886948e+01,1.261088e+00,2.623122e-24,2.895463e-04,6.945907e-05
2.993206e-02,8.910588e-02,6.890813e-02,2.823447e+01,2.266465e+01,4.202873e-24,7.255038e-04,2.730775e-04
1.425767e-02,2.898665e-01,1.968062e-01,2.217168e+01,1.133990e+01,5.860336e-24,2.369220e-04,5.533779e-05
1.350138e-01,1.299647e-01,4.146997e-01,9.769714e+01,2.031175e+00,1.540013e-24,1.016076e-03,1.876707e-04
4.593036e-01,1.691662e-01,9.787237e-02,1.056208e+01,4.249825e+00,1.922816e-24,4.566197e-04,4.184167e-04
4.845215e-02,7.618382e-02,9.184282e-01,4.370653e+01,7.768933e+01,5.432161e-24,1.958282e-03,1.425438e-04
3.573814e-02,4.713211e-01,7.568409e-02,8.128554e+01,6.422944e+00,3.178409e-24,2.163071e-04,5.851202e-05
3.509570e-01,1.029067e-01,7.097428e-01,2.000543e+01,3.585378e+01,2.839520e-24,9.638134e-04,1.717417e-04
1.032374e-01,2.750657e-01,1.835281e-01,5.157891e+01,2.455621e+01,1.121135e-24,3.610377e-04,4.572249e-04
1.050902e-02,6.032329e-02,3.864641e-01,1.192141e+01,1.343482e+00,9.316653e-24,1.608699e-03,1.348109e-04
2.268262e-02,1.953402e-01,4.770035e-01,1.661005e+01,2.937894e+00,4.335843e-24,6.011786e-04,3.544968e-04
2.308361e-01,8.797089e-02,5.081338e-02,4.123867e+01,1.609143e+01,2.196854e-24,1.449852e-03,9.014967e-05
6.799793e-01,3.347031e-01,2.597346e-01,2.524774e+01,7.166908e+01,1.528818e-24,3.171426e-04,8.789321e-05
6.675563e-02,1.500678e-01,1.232185e-01,5.781819e+01,3.987193e+00,7.211350e-24,7.648472e-04,2.245207e-04
5.817003e-02,3.607647e-01,7.890855e-01,1.110253e+01,1.976645e+01,2.266834e-24,1.263247e-03,7.939781e-05
5.924520e-01,1.405453e-01,8.185219e-02,4.796057e+01,1.083848e+00,4.801002e-24,5.214437e-04,2.330485e-04
2.013768e-01,2.096032e-01,3.558430e-01,2.151836e+01,7.979477e+00,6.906711e-24,6.673201e-04,3.369497e-04
1.978471e-02,8.128412e-02,1.657694e-01,8.726950e+01,4.444171e+01,1.361427e-24,2.754567e-04,9.934638e-05
1.211638e-02,2.554891e-01,5.495588e-02,7.184381e+01,8.883810e+01,2.982211e-24,1.104643e-03,4.815847e-04
1.190046e-01,6.433967e-02,5.303155e-01,3.129006e+01,4.953402e+00,3.584158e-24,2.490263e-04,1.224662e-04
4.041618e-01,4.397299e-01,1.112983e-01,3.328070e+01,2.370153e+00,9.087913e-24,1.846414e-03,6.469840e-05
4.115236e-02,1.112446e-01,2.391489e-01,1.336559e+01,1.295241e+01,1.016253e-24,4.162483e-04,1.652730e-04
